"monthstop","daystop","stop_counts"
01,01,1239
01,02,883
01,03,745
01,04,1624
01,05,2158
01,06,2291
01,07,2325
01,08,1884
01,09,1197
01,10,1306
01,11,1781
01,12,1637
01,13,2297
01,14,2596
01,15,2473
01,16,1753
01,17,1680
01,18,1800
01,19,2594
01,20,2626
01,21,2559
01,22,2483
01,23,1534
01,24,1424
01,25,2326
01,26,1761
01,27,1654
01,28,2334
01,29,2481
01,30,1700
01,31,1380
02,01,1589
02,02,2137
02,03,2531
02,04,2766
02,05,2412
02,06,1638
02,07,1532
02,08,2064
02,09,2405
02,10,2360
02,11,3255
02,12,2662
02,13,1832
02,14,1500
02,15,2146
02,16,2476
02,17,2378
02,18,2802
02,19,2183
02,20,1849
02,21,1538
02,22,1989
02,23,2186
02,24,2221
02,25,2271
02,26,2530
02,27,1986
02,28,1671
03,01,1994
03,02,2210
03,03,2193
03,04,2642
03,05,2364
03,06,1331
03,07,1423
03,08,2325
03,09,2296
03,10,1779
03,11,2622
03,12,2663
03,13,1709
03,14,1642
03,15,1966
03,16,2225
03,17,2085
03,18,2346
03,19,2273
03,20,1700
03,21,1600
03,22,2146
03,23,1618
03,24,2147
03,25,2818
03,26,2436
03,27,1748
03,28,1589
03,29,1979
03,30,2173
03,31,1796
04,01,2146
04,02,2377
04,03,1649
04,04,1692
04,05,1951
04,06,2118
04,07,2581
04,08,2510
04,09,2371
04,10,1657
04,11,1730
04,12,1813
04,13,2252
04,14,2421
04,15,2658
04,16,1708
04,17,1564
04,18,1397
04,19,1826
04,20,2431
04,21,2286
04,22,2518
04,23,2080
04,24,1318
04,25,1504
04,26,2013
04,27,2154
04,28,2305
04,29,2778
04,30,2250
05,01,1547
05,02,1517
05,03,1784
05,04,1895
05,05,2347
05,06,2755
05,07,2269
05,08,1391
05,09,1656
05,10,2056
05,11,2430
05,12,2400
05,13,2666
05,14,2218
05,15,1531
05,16,1498
05,17,1834
05,18,1766
05,19,2251
05,20,2482
05,21,2131
05,22,1588
05,23,1470
05,24,1941
05,25,2029
05,26,2056
05,27,2105
05,28,1986
05,29,1609
05,30,1289
05,31,1675
06,01,1840
06,02,1955
06,03,2370
06,04,2083
06,05,1506
06,06,1513
06,07,1666
06,08,1921
06,09,1569
06,10,2281
06,11,2002
06,12,1800
06,13,1450
06,14,1764
06,15,1918
06,16,2155
06,17,2087
06,18,2311
06,19,1437
06,20,1407
06,21,1881
06,22,1917
06,23,2120
06,24,2211
06,25,2130
06,26,1569
06,27,1392
06,28,1940
06,29,2130
06,30,2404
07,01,2052
07,02,2250
07,03,1910
07,04,1520
07,05,1892
07,06,1874
07,07,1759
07,08,1911
07,09,2043
07,10,1644
07,11,1486
07,12,1533
07,13,1803
07,14,1738
07,15,1869
07,16,1993
07,17,1308
07,18,1169
07,19,1601
07,20,1701
07,21,1746
07,22,1705
07,23,1787
07,24,1372
07,25,1169
07,26,1674
07,27,1948
07,28,1827
07,29,1790
07,30,1805
07,31,1294
08,01,1090
08,02,1493
08,03,1574
08,04,1761
08,05,2017
08,06,1722
08,07,1314
08,08,1270
08,09,1525
08,10,2055
08,11,1854
08,12,1856
08,13,1786
08,14,818
08,15,1321
08,16,1817
08,17,1926
08,18,1801
08,19,1851
08,20,1631
08,21,1200
08,22,1565
08,23,1875
08,24,1985
08,25,1923
08,26,1915
08,27,780
08,28,466
08,29,1172
08,30,1930
08,31,2066
09,01,1986
09,02,2063
09,03,1938
09,04,1472
09,05,1104
09,06,987
09,07,1373
09,08,1627
09,09,1820
09,10,1546
09,11,1075
09,12,1044
09,13,1372
09,14,1789
09,15,1687
09,16,2216
09,17,1861
09,18,1284
09,19,1219
09,20,1733
09,21,1944
09,22,2208
09,23,1922
09,24,2351
09,25,1530
09,26,1589
09,27,1990
09,28,2171
09,29,2084
09,30,2019
10,01,1825
10,02,1580
10,03,1506
10,04,2133
10,05,2060
10,06,2329
10,07,2628
10,08,2220
10,09,1604
10,10,1352
10,11,2026
10,12,1944
10,13,1922
10,14,1441
10,15,1090
10,16,1566
10,17,1641
10,18,2297
10,19,1857
10,20,2336
10,21,2693
10,22,2351
10,23,1815
10,24,1647
10,25,1979
10,26,2280
10,27,1653
10,28,1975
10,29,1452
10,30,1673
10,31,2246
11,01,2283
11,02,2490
11,03,2585
11,04,2649
11,05,2396
11,06,1774
11,07,1834
11,08,1969
11,09,2523
11,10,2545
11,11,2399
11,12,2316
11,13,1620
11,14,1425
11,15,1788
11,16,1541
11,17,1300
11,18,2281
11,19,2149
11,20,1605
11,21,1536
11,22,1530
11,23,1727
11,24,662
11,25,1970
11,26,2294
11,27,1596
11,28,1557
11,29,1795
11,30,1950
12,01,1822
12,02,2265
12,03,2144
12,04,1624
12,05,1519
12,06,1723
12,07,1594
12,08,2141
12,09,2363
12,10,2167
12,11,1344
12,12,1286
12,13,1718
12,14,1916
12,15,2087
12,16,2127
12,17,1875
12,18,1352
12,19,986
12,20,2141
12,21,1977
12,22,2117
12,23,1741
12,24,696
12,25,311
12,26,1037
12,27,1624
12,28,1965
12,29,1845
12,30,1894
12,31,1346
